Phylum,OBS,ORS,B_15,B_30,B_45,R_15,R_30,R_45
Thermoproteota,6,7,0,0,0,0,0,0
Actinomycetota,30,8,87,78,46,140,129,78
Bacillota,1,0,47,45,116,26,19,103
Pseudomonadota,6,2,33,58,26,29,55,32
Bacteroidota,1,0,2,9,0,23,3,0
Chloroflexota,2,2,0,0,0,0,0,0
Acidobacteriota,3,0,0,0,0,0,0,0
Patescibacteria,2,0,0,0,0,0,0,0
Desulfobacterota_B,1,0,0,0,0,0,0,0
Desulfobacterota_D,1,0,0,0,0,0,0,0
Gemmatimonadota,1,0,0,0,0,0,0,0
Nitrospirota,0,1,0,0,0,0,0,0
